fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,alcohol
7.4,0.7,0,1.9,0.076,11,3.51,0.56,9.4
7.8,0.88,0,2.6,0.098,25,3.2,0.68,9.8
7.8,0.76,0.04,2.3,0.092,15,3.26,0.65,9.8
11.2,0.28,0.56,1.9,0.075,17,3.16,0.58,9.8
7.4,0.7,0,1.9,0.076,11,3.51,0.56,9.4
7.4,0.66,0,1.8,0.075,13,3.51,0.56,9.4
7.9,0.6,0.06,1.6,0.069,15,3.3,0.46,9.4
7.3,0.65,0,1.2,0.065,15,3.39,0.47,10
7.8,0.58,0.02,2,0.073,9,3.36,0.57,9.5
7.5,0.5,0.36,6.1,0.071,17,3.35,0.8,10.5
6.7,0.58,0.08,1.8,0.097,15,3.28,0.54,9.2
7.5,0.5,0.36,6.1,0.071,17,3.35,0.8,10.5
5.6,0.615,0,1.6,0.089,16,3.58,0.52,9.9
7.8,0.61,0.29,1.6,0.114,9,3.26,1.56,9.1
8.9,0.62,0.18,3.8,0.176,52,3.16,0.88,9.2
8.9,0.62,0.19,3.9,0.17,51,3.17,0.93,9.2
8.5,0.28,0.56,1.8,0.092,35,3.3,0.75,10.5
8.1,0.56,0.28,1.7,0.368,16,3.11,1.28,9.3
7.4,0.59,0.08,4.4,0.086,6,3.38,0.5,9
7.9,0.32,0.51,1.8,0.341,17,3.04,1.08,9.2
8.9,0.22,0.48,1.8,0.077,29,3.39,0.53,9.4
7.6,0.39,0.31,2.3,0.082,23,3.52,0.65,9.7
7.9,0.43,0.21,1.6,0.106,10,3.17,0.91,9.5
8.5,0.49,0.11,2.3,0.084,9,3.17,0.53,9.4
6.9,0.4,0.14,2.4,0.085,21,3.43,0.63,9.7
6.3,0.39,0.16,1.4,0.08,11,3.34,0.56,9.3
7.6,0.41,0.24,1.8,0.08,4,3.28,0.59,9.5
7.9,0.43,0.21,1.6,0.106,10,3.17,0.91,9.5
7.1,0.71,0,1.9,0.08,14,3.47,0.55,9.4
7.8,0.645,0,2,0.082,8,3.38,0.59,9.8
6.7,0.675,0.07,2.4,0.089,17,3.35,0.54,10.1
6.9,0.685,0,2.5,0.105,22,3.46,0.57,10.6
8.3,0.655,0.12,2.3,0.083,15,3.17,0.66,9.8
6.9,0.605,0.12,10.7,0.073,40,3.45,0.52,9.4
5.2,0.32,0.25,1.8,0.103,13,3.38,0.55,9.2
7.8,0.645,0,5.5,0.086,5,3.4,0.55,9.6
7.8,0.6,0.14,2.4,0.086,3,3.42,0.6,10.8
8.1,0.38,0.28,2.1,0.066,13,3.23,0.73,9.7
5.7,1.13,0.09,1.5,0.172,7,3.5,0.48,9.8
7.3,0.45,0.36,5.9,0.074,12,3.33,0.83,10.5
7.3,0.45,0.36,5.9,0.074,12,3.33,0.83,10.5
8.8,0.61,0.3,2.8,0.088,17,3.26,0.51,9.3
7.5,0.49,0.2,2.6,0.332,8,3.21,0.9,10.5
8.1,0.66,0.22,2.2,0.069,9,3.3,1.2,10.3
6.8,0.67,0.02,1.8,0.05,5,3.48,0.52,9.5
4.6,0.52,0.15,2.1,0.054,8,3.9,0.56,13.1
7.7,0.935,0.43,2.2,0.114,22,3.25,0.73,9.2
8.7,0.29,0.52,1.6,0.113,12,3.25,0.58,9.5
6.4,0.4,0.23,1.6,0.066,5,3.34,0.56,9.2
5.6,0.31,0.37,1.4,0.074,12,3.32,0.58,9.2
8.8,0.66,0.26,1.7,0.074,4,3.15,0.74,9.2
6.6,0.52,0.04,2.2,0.069,8,3.4,0.63,9.4
6.6,0.5,0.04,2.1,0.068,6,3.39,0.64,9.4
8.6,0.38,0.36,3,0.081,30,3.2,0.56,9.4
7.6,0.51,0.15,2.8,0.11,33,3.17,0.63,10.2
7.7,0.62,0.04,3.8,0.084,25,3.34,0.53,9.5
10.2,0.42,0.57,3.4,0.07,4,3.04,0.63,9.6
7.5,0.63,0.12,5.1,0.111,50,3.26,0.77,9.4
7.8,0.59,0.18,2.3,0.076,17,3.43,0.59,10
7.3,0.39,0.31,2.4,0.074,9,3.41,0.54,9.4
8.8,0.4,0.4,2.2,0.079,19,3.44,0.64,9.2
7.7,0.69,0.49,1.8,0.115,20,3.21,0.71,9.3
7.5,0.52,0.16,1.9,0.085,12,3.38,0.62,9.5
7,0.735,0.05,2,0.081,13,3.39,0.57,9.8
7.2,0.725,0.05,4.65,0.086,4,3.41,0.39,10.9
7.2,0.725,0.05,4.65,0.086,4,3.41,0.39,10.9
7.5,0.52,0.11,1.5,0.079,11,3.42,0.58,9.6
6.6,0.705,0.07,1.6,0.076,6,3.44,0.58,10.7
9.3,0.32,0.57,2,0.074,27,3.28,0.79,10.7
8,0.705,0.05,1.9,0.074,8,3.34,0.95,10.5
7.7,0.63,0.08,1.9,0.076,15,3.32,0.54,9.5
7.7,0.67,0.23,2.1,0.088,17,3.32,0.48,9.5
7.7,0.69,0.22,1.9,0.084,18,3.31,0.48,9.5
8.3,0.675,0.26,2.1,0.084,11,3.31,0.53,9.2
9.7,0.32,0.54,2.5,0.094,28,3.28,0.82,9.6
8.8,0.41,0.64,2.2,0.093,9,3.54,0.66,10.5
8.8,0.41,0.64,2.2,0.093,9,3.54,0.66,10.5
6.8,0.785,0,2.4,0.104,14,3.52,0.55,10.7
6.7,0.75,0.12,2,0.086,12,3.38,0.52,10.1
8.3,0.625,0.2,1.5,0.08,27,3.16,1.12,9.1
6.2,0.45,0.2,1.6,0.069,3,3.41,0.56,9.2
7.8,0.43,0.7,1.9,0.464,22,3.13,1.28,9.4
7.4,0.5,0.47,2,0.086,21,3.36,0.57,9.1
7.3,0.67,0.26,1.8,0.401,16,3.16,1.14,9.4
6.3,0.3,0.48,1.8,0.069,18,3.44,0.78,10.3
6.9,0.55,0.15,2.2,0.076,19,3.41,0.59,10.1
8.6,0.49,0.28,1.9,0.11,20,2.93,1.95,9.9
7.7,0.49,0.26,1.9,0.062,9,3.39,0.64,9.6
9.3,0.39,0.44,2.1,0.107,34,3.14,1.22,9.5
7,0.62,0.08,1.8,0.076,8,3.48,0.53,9
7.9,0.52,0.26,1.9,0.079,42,3.23,0.54,9.5
8.6,0.49,0.28,1.9,0.11,20,2.93,1.95,9.9
8.6,0.49,0.29,2,0.11,19,2.93,1.98,9.8
7.7,0.49,0.26,1.9,0.062,9,3.39,0.64,9.6
5,1.02,0.04,1.4,0.045,41,3.75,0.48,10.5
4.7,0.6,0.17,2.3,0.058,17,3.85,0.6,12.9
6.8,0.775,0,3,0.102,8,3.45,0.56,10.7
7,0.5,0.25,2,0.07,3,3.25,0.63,9.2
7.6,0.9,0.06,2.5,0.079,5,3.39,0.56,9.8
8.1,0.545,0.18,1.9,0.08,13,3.3,0.59,9
8.3,0.61,0.3,2.1,0.084,11,3.4,0.61,10.2
7.8,0.5,0.3,1.9,0.075,8,3.31,0.56,10.4
8.1,0.545,0.18,1.9,0.08,13,3.3,0.59,9
8.1,0.575,0.22,2.1,0.077,12,3.29,0.51,9.2
7.2,0.49,0.24,2.2,0.07,5,3.33,0.48,9.4
8.1,0.575,0.22,2.1,0.077,12,3.29,0.51,9.2
7.8,0.41,0.68,1.7,0.467,18,3.08,1.31,9.3
6.2,0.63,0.31,1.7,0.088,15,3.46,0.79,9.3
8,0.33,0.53,2.5,0.091,18,3.37,0.8,9.6
8.1,0.785,0.52,2,0.122,37,3.21,0.69,9.3
7.8,0.56,0.19,1.8,0.104,12,3.19,0.93,9.5
8.4,0.62,0.09,2.2,0.084,11,3.15,0.66,9.8
8.4,0.6,0.1,2.2,0.085,14,3.15,0.66,9.8
10.1,0.31,0.44,2.3,0.08,22,3.32,0.67,9.7
7.8,0.56,0.19,1.8,0.104,12,3.19,0.93,9.5
9.4,0.4,0.31,2.2,0.09,13,3.07,0.63,10.5
8.3,0.54,0.28,1.9,0.077,11,3.39,0.61,10
7.8,0.56,0.12,2,0.082,7,3.37,0.5,9.4
8.8,0.55,0.04,2.2,0.119,14,3.21,0.6,10.9
7,0.69,0.08,1.8,0.097,22,3.34,0.54,9.2
7.3,1.07,0.09,1.7,0.178,10,3.3,0.57,9
8.8,0.55,0.04,2.2,0.119,14,3.21,0.6,10.9
7.3,0.695,0,2.5,0.075,3,3.49,0.52,9.2
8,0.71,0,2.6,0.08,11,3.44,0.53,9.5
7.8,0.5,0.17,1.6,0.082,21,3.39,0.48,9.5
9,0.62,0.04,1.9,0.146,27,3.16,0.7,9.4
8.2,1.33,0,1.7,0.081,3,3.53,0.49,10.9
8.1,1.33,0,1.8,0.082,3,3.54,0.48,10.9
8,0.59,0.16,1.8,0.065,3,3.42,0.92,10.5
6.1,0.38,0.15,1.8,0.072,6,3.42,0.57,9.4
8,0.745,0.56,2,0.118,30,3.24,0.66,9.4
5.6,0.5,0.09,2.3,0.049,17,3.63,0.63,13
5.6,0.5,0.09,2.3,0.049,17,3.63,0.63,13
6.6,0.5,0.01,1.5,0.06,17,3.4,0.58,9.8
7.9,1.04,0.05,2.2,0.084,13,3.22,0.55,9.9
8.4,0.745,0.11,1.9,0.09,16,3.19,0.82,9.6
8.3,0.715,0.15,1.8,0.089,10,3.23,0.77,9.5
7.2,0.415,0.36,2,0.081,13,3.48,0.64,9.2
7.8,0.56,0.19,2.1,0.081,15,3.33,0.54,9.5
7.8,0.56,0.19,2,0.081,17,3.32,0.54,9.5
8.4,0.745,0.11,1.9,0.09,16,3.19,0.82,9.6
8.3,0.715,0.15,1.8,0.089,10,3.23,0.77,9.5
5.2,0.34,0,1.8,0.05,27,3.68,0.79,14
6.3,0.39,0.08,1.7,0.066,3,3.34,0.58,9.4
5.2,0.34,0,1.8,0.05,27,3.68,0.79,14
8.1,0.67,0.55,1.8,0.117,32,3.17,0.62,9.4
5.8,0.68,0.02,1.8,0.087,21,3.54,0.52,10
7.6,0.49,0.26,1.6,0.236,10,3.11,0.8,9.3
6.9,0.49,0.1,2.3,0.074,12,3.42,0.58,10.2
8.2,0.4,0.44,2.8,0.089,11,3.53,0.61,10.5
7.3,0.33,0.47,2.1,0.077,5,3.33,0.53,10.3
9.2,0.52,1,3.4,0.61,32,2.74,2,9.4
7.5,0.6,0.03,1.8,0.095,25,3.35,0.54,10.1
7.5,0.6,0.03,1.8,0.095,25,3.35,0.54,10.1
7.1,0.43,0.42,5.5,0.07,29,3.42,0.72,10.5
7.1,0.43,0.42,5.5,0.071,28,3.42,0.71,10.5
7.1,0.43,0.42,5.5,0.07,29,3.42,0.72,10.5
7.1,0.43,0.42,5.5,0.071,28,3.42,0.71,10.5
7.1,0.68,0,2.2,0.073,12,3.48,0.5,9.3
6.8,0.6,0.18,1.9,0.079,18,3.59,0.57,9.3
7.6,0.95,0.03,2,0.09,7,3.2,0.56,9.6
7.6,0.68,0.02,1.3,0.072,9,3.17,1.08,9.2
7.8,0.53,0.04,1.7,0.076,17,3.33,0.56,10
7.4,0.6,0.26,7.3,0.07,36,3.37,0.49,9.4
7.3,0.59,0.26,7.2,0.07,35,3.37,0.49,9.4
7.8,0.63,0.48,1.7,0.1,14,3.19,0.62,9.5
6.8,0.64,0.1,2.1,0.085,18,3.34,0.52,10.2
7.3,0.55,0.03,1.6,0.072,17,3.37,0.48,9
6.8,0.63,0.07,2.1,0.089,11,3.47,0.55,10.4
7.5,0.705,0.24,1.8,0.36,15,3,1.59,9.5
7.9,0.885,0.03,1.8,0.058,4,3.36,0.33,9.1
8,0.42,0.17,2,0.073,6,3.29,0.61,9.2
8,0.42,0.17,2,0.073,6,3.29,0.61,9.2
7.4,0.62,0.05,1.9,0.068,24,3.42,0.57,11.5
7.3,0.38,0.21,2,0.08,7,3.33,0.47,9.5
6.9,0.5,0.04,1.5,0.085,19,3.35,0.78,9.5
7.3,0.38,0.21,2,0.08,7,3.33,0.47,9.5
7.5,0.52,0.42,2.3,0.087,8,3.58,0.61,10.5
7,0.805,0,2.5,0.068,7,3.48,0.56,9.6
8.8,0.61,0.14,2.4,0.067,10,3.19,0.59,9.5
8.8,0.61,0.14,2.4,0.067,10,3.19,0.59,9.5
8.9,0.61,0.49,2,0.27,23,3.12,1.02,9.3
7.2,0.73,0.02,2.5,0.076,16,3.44,0.52,9.3
6.8,0.61,0.2,1.8,0.077,11,3.54,0.58,9.3
6.7,0.62,0.21,1.9,0.079,8,3.52,0.58,9.3
8.9,0.31,0.57,2,0.111,26,3.26,0.53,9.7
7.4,0.39,0.48,2,0.082,14,3.34,0.55,9.2
7.7,0.705,0.1,2.6,0.084,9,3.39,0.49,9.7
7.9,0.5,0.33,2,0.084,15,3.2,0.55,9.5
7.9,0.49,0.32,1.9,0.082,17,3.2,0.55,9.5
8.2,0.5,0.35,2.9,0.077,21,3.23,0.62,9.4
6.4,0.37,0.25,1.9,0.074,21,3.57,0.62,9.8
6.8,0.63,0.12,3.8,0.099,16,3.28,0.61,9.5
7.6,0.55,0.21,2.2,0.071,7,3.28,0.55,9.7
7.6,0.55,0.21,2.2,0.071,7,3.28,0.55,9.7
7.8,0.59,0.33,2,0.074,24,3.25,0.54,9.4
7.3,0.58,0.3,2.4,0.074,15,3.46,0.59,10.2
11.5,0.3,0.6,2,0.067,12,3.11,0.97,10.1
5.4,0.835,0.08,1.2,0.046,13,3.57,0.85,13
6.9,1.09,0.06,2.1,0.061,12,3.51,0.43,11.4
9.6,0.32,0.47,1.4,0.056,9,3.22,0.82,10.3
8.8,0.37,0.48,2.1,0.097,39,3.04,1.03,9.3
6.8,0.5,0.11,1.5,0.075,16,3.36,0.79,9.5
7,0.42,0.35,1.6,0.088,16,3.34,0.55,9.2
7,0.43,0.36,1.6,0.089,14,3.34,0.56,9.2
12.8,0.3,0.74,2.6,0.095,9,3.2,0.77,10.8
12.8,0.3,0.74,2.6,0.095,9,3.2,0.77,10.8
7.8,0.57,0.31,1.8,0.069,26,3.29,0.53,9.3
7.8,0.44,0.28,2.7,0.1,18,3.22,0.67,9.4
11,0.3,0.58,2.1,0.054,7,3.31,0.88,10.5
9.7,0.53,0.6,2,0.039,5,3.3,0.86,12.4
8,0.725,0.24,2.8,0.083,10,3.35,0.56,10
11.6,0.44,0.64,2.1,0.059,5,3.21,0.67,10.2
8.2,0.57,0.26,2.2,0.06,28,3.3,0.43,10.1
7.8,0.735,0.08,2.4,0.092,10,3.24,0.71,9.8
7,0.49,0.49,5.6,0.06,26,3.34,0.76,10.5
8.7,0.625,0.16,2,0.101,13,3.14,0.57,11
8.1,0.725,0.22,2.2,0.072,11,3.36,0.55,9.1
7.5,0.49,0.19,1.9,0.076,10,3.39,0.54,9.7
7.8,0.53,0.33,2.4,0.08,24,3.3,0.6,9.5
7.8,0.34,0.37,2,0.082,24,3.34,0.59,9.4
7.4,0.53,0.26,2,0.101,16,3.15,0.57,9.4
6.8,0.61,0.04,1.5,0.057,5,3.42,0.6,9.5
8.6,0.645,0.25,2,0.083,8,3.28,0.6,10
8.4,0.635,0.36,2,0.089,15,3.31,0.57,10.4
7.7,0.43,0.25,2.6,0.073,29,3.37,0.58,10.5
8.9,0.59,0.5,2,0.337,27,3.04,1.61,9.5
9,0.82,0.14,2.6,0.089,9,3.39,0.63,9.8
7.7,0.43,0.25,2.6,0.073,29,3.37,0.58,10.5
6.9,0.52,0.25,2.6,0.081,10,3.46,0.5,11
5.2,0.48,0.04,1.6,0.054,19,3.54,0.62,12.2
8,0.38,0.06,1.8,0.078,12,3.37,0.52,9.9
8.5,0.37,0.2,2.8,0.09,18,3.34,0.7,9.6
6.9,0.52,0.25,2.6,0.081,10,3.46,0.5,11
8.2,1,0.09,2.3,0.065,7,3.32,0.55,9
7.2,0.63,0,1.9,0.097,14,3.37,0.58,9
7.2,0.63,0,1.9,0.097,14,3.37,0.58,9
7.2,0.645,0,1.9,0.097,15,3.37,0.58,9.2
7.2,0.63,0,1.9,0.097,14,3.37,0.58,9
8.2,1,0.09,2.3,0.065,7,3.32,0.55,9
8.9,0.635,0.37,1.7,0.263,5,3,1.09,9.3
12,0.38,0.56,2.1,0.093,6,3.14,0.71,10.9
7.7,0.58,0.1,1.8,0.102,28,3.08,0.49,9.8
15,0.21,0.44,2.2,0.075,10,3.07,0.84,9.2
15,0.21,0.44,2.2,0.075,10,3.07,0.84,9.2
7.3,0.66,0,2,0.084,6,3.61,0.96,9.9
7.1,0.68,0.07,1.9,0.075,16,3.38,0.52,9.5
8.2,0.6,0.17,2.3,0.072,11,3.2,0.45,9.3
7.7,0.53,0.06,1.7,0.074,9,3.35,0.48,9.8
7.3,0.66,0,2,0.084,6,3.61,0.96,9.9
10.8,0.32,0.44,1.6,0.063,16,3.22,0.78,10
7.1,0.6,0,1.8,0.074,16,3.47,0.7,9.9
11.1,0.35,0.48,3.1,0.09,5,3.17,0.53,10.5
7.7,0.775,0.42,1.9,0.092,8,3.23,0.59,9.5
7.1,0.6,0,1.8,0.074,16,3.47,0.7,9.9
8,0.57,0.23,3.2,0.073,17,3.26,0.57,9.3
9.4,0.34,0.37,2.2,0.075,5,3.22,0.62,9.2
6.6,0.695,0,2.1,0.075,12,3.49,0.67,9.2
7.7,0.41,0.76,1.8,0.611,8,3.06,1.26,9.4
10,0.31,0.47,2.6,0.085,14,3.36,0.8,10.5
7.9,0.33,0.23,1.7,0.077,18,3.29,0.65,9.3
7,0.975,0.04,2,0.087,12,3.35,0.6,9.4
8,0.52,0.03,1.7,0.07,10,3.34,0.57,10
7.9,0.37,0.23,1.8,0.077,23,3.28,0.67,9.3
12.5,0.56,0.49,2.4,0.064,5,3.08,0.87,10.9
11.8,0.26,0.52,1.8,0.071,6,3.2,0.72,10.2
8.1,0.87,0,3.3,0.096,26,3.6,0.72,9.8
7.9,0.35,0.46,3.6,0.078,15,3.35,0.86,12.8
6.9,0.54,0.04,3,0.077,7,3.69,0.91,9.4
11.5,0.18,0.51,4,0.104,4,3.28,0.97,10.1
7.9,0.545,0.06,4,0.087,27,3.36,0.67,10.7
11.5,0.18,0.51,4,0.104,4,3.28,0.97,10.1
10.9,0.37,0.58,4,0.071,17,3.22,0.78,10.1
8.4,0.715,0.2,2.4,0.076,10,3.31,0.64,9.4
7.5,0.65,0.18,7,0.088,27,3.38,0.77,9.4
7.9,0.545,0.06,4,0.087,27,3.36,0.67,10.7
6.9,0.54,0.04,3,0.077,7,3.69,0.91,9.4
11.5,0.18,0.51,4,0.104,4,3.28,0.97,10.1
10.3,0.32,0.45,6.4,0.073,5,3.23,0.82,12.6
8.9,0.4,0.32,5.6,0.087,10,3.38,0.77,10.5
11.4,0.26,0.44,3.6,0.071,6,3.12,0.82,9.3
7.7,0.27,0.68,3.5,0.358,5,3.25,1.08,9.9
7.6,0.52,0.12,3,0.067,12,3.36,0.57,9.1
8.9,0.4,0.32,5.6,0.087,10,3.38,0.77,10.5
9.9,0.59,0.07,3.4,0.102,32,3.31,0.71,9.8
9.9,0.59,0.07,3.4,0.102,32,3.31,0.71,9.8
12,0.45,0.55,2,0.073,25,3.1,0.76,10.3
7.5,0.4,0.12,3,0.092,29,3.37,0.7,10.3
8.7,0.52,0.09,2.5,0.091,20,3.34,0.86,10.6
11.6,0.42,0.53,3.3,0.105,33,3.2,0.95,9.2
8.7,0.52,0.09,2.5,0.091,20,3.34,0.86,10.6
11,0.2,0.48,2,0.343,6,3.3,0.71,10.5
10.4,0.55,0.23,2.7,0.091,18,3.22,0.64,10.3
6.9,0.36,0.25,2.4,0.098,5,3.41,0.6,10.1
13.3,0.34,0.52,3.2,0.094,17,3.05,0.81,9.5
10.8,0.5,0.46,2.5,0.073,5,3.05,0.64,9.5
10.6,0.83,0.37,2.6,0.086,26,3.16,0.52,9.9
7.1,0.63,0.06,2,0.083,8,3.67,0.73,9.6
7.2,0.65,0.02,2.3,0.094,5,3.67,0.8,9.7
6.9,0.67,0.06,2.1,0.08,8,3.68,0.71,9.6
7.5,0.53,0.06,2.6,0.086,20,3.38,0.59,10.7
11.1,0.18,0.48,1.5,0.068,7,3.22,0.64,10.1
8.3,0.705,0.12,2.6,0.092,12,3.51,0.72,10
7.4,0.67,0.12,1.6,0.186,5,3.39,0.54,9.5
8.4,0.65,0.6,2.1,0.112,12,3.2,0.52,9.2
10.3,0.53,0.48,2.5,0.063,6,3.12,0.59,9.3
7.6,0.62,0.32,2.2,0.082,7,3.36,0.52,9.4
10.3,0.41,0.42,2.4,0.213,6,3.19,0.62,9.5
10.3,0.43,0.44,2.4,0.214,5,3.19,0.63,9.5
7.4,0.29,0.38,1.7,0.062,9,3.41,0.53,9.5
10.3,0.53,0.48,2.5,0.063,6,3.12,0.59,9.3
7.9,0.53,0.24,2,0.072,15,3.27,0.54,9.4
9,0.46,0.31,2.8,0.093,19,3.32,0.63,9.5
8.6,0.47,0.3,3,0.076,30,3.3,0.53,9.4
7.4,0.36,0.29,2.6,0.087,26,3.39,0.68,11
7.1,0.35,0.29,2.5,0.096,20,3.42,0.65,11
9.6,0.56,0.23,3.4,0.102,37,3.3,0.65,10.1
9.6,0.77,0.12,2.9,0.082,30,3.3,0.64,10.4
9.8,0.66,0.39,3.2,0.083,21,3.37,0.71,11.5
9.6,0.77,0.12,2.9,0.082,30,3.3,0.64,10.4
9.8,0.66,0.39,3.2,0.083,21,3.37,0.71,11.5
9.3,0.61,0.26,3.4,0.09,25,3.24,0.62,9.7
7.8,0.62,0.05,2.3,0.079,6,3.29,0.63,9.3
10.3,0.59,0.42,2.8,0.09,35,3.28,0.7,9.5
10,0.49,0.2,11,0.071,13,3.16,0.69,9.2
10,0.49,0.2,11,0.071,13,3.16,0.69,9.2
11.6,0.53,0.66,3.65,0.121,6,3.05,0.74,11.5
10.3,0.44,0.5,4.5,0.107,5,3.28,0.83,11.5
13.4,0.27,0.62,2.6,0.082,6,3.16,0.67,9.7
10.7,0.46,0.39,2,0.061,7,3.18,0.62,9.5
10.2,0.36,0.64,2.9,0.122,10,3.23,0.66,12.5
10.2,0.36,0.64,2.9,0.122,10,3.23,0.66,12.5
8,0.58,0.28,3.2,0.066,21,3.22,0.54,9.4
8.4,0.56,0.08,2.1,0.105,16,3.13,0.52,11
7.9,0.65,0.01,2.5,0.078,17,3.34,0.74,11.7
11.9,0.695,0.53,3.4,0.128,7,3.17,0.84,12.2
8.9,0.43,0.45,1.9,0.052,6,3.35,0.7,12.5
7.8,0.43,0.32,2.8,0.08,29,3.31,0.64,10.3
12.4,0.49,0.58,3,0.103,28,3.16,1,11.5
12.5,0.28,0.54,2.3,0.082,12,3.11,1.36,9.8
12.2,0.34,0.5,2.4,0.066,10,3.12,1.18,9.2
10.6,0.42,0.48,2.7,0.065,5,3.21,0.87,11.3
10.9,0.39,0.47,1.8,0.118,6,3.3,0.75,9.8
10.9,0.39,0.47,1.8,0.118,6,3.3,0.75,9.8
11.9,0.57,0.5,2.6,0.082,6,3.12,0.78,10.7
7,0.685,0,1.9,0.067,40,3.6,0.81,9.9
6.6,0.815,0.02,2.7,0.072,17,3.58,0.89,12.3
13.8,0.49,0.67,3,0.093,6,3.02,0.93,12
9.6,0.56,0.31,2.8,0.089,15,3.11,0.92,10
9.1,0.785,0,2.6,0.093,11,3.36,0.86,9.4
10.7,0.67,0.22,2.7,0.107,17,3.28,0.98,9.9
9.1,0.795,0,2.6,0.096,11,3.35,0.83,9.4
7.7,0.665,0,2.4,0.09,8,3.27,0.73,9.3
13.5,0.53,0.79,4.8,0.12,23,3.18,0.77,13
6.1,0.21,0.4,1.4,0.066,40.5,3.25,0.59,11.9
6.7,0.75,0.01,2.4,0.078,17,3.55,0.61,12.8
11.5,0.41,0.52,3,0.08,29,3.26,0.88,11
10.5,0.42,0.66,2.95,0.116,12,3.24,0.75,11.7
11.9,0.43,0.66,3.1,0.109,10,3.15,0.85,10.4
12.6,0.38,0.66,2.6,0.088,10,3.17,0.68,9.8
8.2,0.7,0.23,2,0.099,14,3.19,0.7,9.4
8.6,0.45,0.31,2.6,0.086,21,3.37,0.91,9.9
11.9,0.58,0.66,2.5,0.072,6,3.05,0.56,10
12.5,0.46,0.63,2,0.071,6,2.99,0.87,10.2
12.8,0.615,0.66,5.8,0.083,7,3.07,0.73,10
10,0.42,0.5,3.4,0.107,7,3.26,0.93,11.8
12.8,0.615,0.66,5.8,0.083,7,3.07,0.73,10
10.4,0.575,0.61,2.6,0.076,11,3.16,0.69,9
10.3,0.34,0.52,2.8,0.159,15,3.18,0.64,9.4
9.4,0.27,0.53,2.4,0.074,6,3.2,1.13,12
6.9,0.765,0.02,2.3,0.063,35,3.57,0.78,9.9
7.9,0.24,0.4,1.6,0.056,11,3.32,0.87,8.7
9.1,0.28,0.48,1.8,0.067,26,3.32,1.04,10.6
7.4,0.55,0.22,2.2,0.106,12,3.05,0.63,9.2
14,0.41,0.63,3.8,0.089,6,3.01,0.81,10.8
11.5,0.54,0.71,4.4,0.124,6,3.01,0.83,11.8
11.5,0.45,0.5,3,0.078,19,3.26,1.11,11
9.4,0.27,0.53,2.4,0.074,6,3.2,1.13,12
11.4,0.625,0.66,6.2,0.088,6,3.11,0.99,13.3
8.3,0.42,0.38,2.5,0.094,24,3.31,0.7,10.8
8.3,0.26,0.42,2,0.08,11,3.21,0.8,9.4
13.7,0.415,0.68,2.9,0.085,17,3.06,0.8,10
8.3,0.26,0.42,2,0.08,11,3.21,0.8,9.4
8.3,0.26,0.42,2,0.08,11,3.21,0.8,9.4
7.7,0.51,0.28,2.1,0.087,23,3.42,0.74,9.2
7.4,0.63,0.07,2.4,0.09,11,3.43,0.76,9.7
7.8,0.54,0.26,2,0.088,23,3.41,0.74,9.2
8.3,0.66,0.15,1.9,0.079,17,3.31,0.54,9.6
7.8,0.46,0.26,1.9,0.088,23,3.43,0.74,9.2
9.6,0.38,0.31,2.5,0.096,16,3.19,0.7,10
5.6,0.85,0.05,1.4,0.045,12,3.56,0.82,12.9
13.7,0.415,0.68,2.9,0.085,17,3.06,0.8,10
9.5,0.37,0.52,2,0.082,6,3.18,0.51,9.5
8.4,0.665,0.61,2,0.112,13,3.16,0.54,9.1
12.7,0.6,0.65,2.3,0.063,6,3.03,0.57,9.9
12,0.37,0.76,4.2,0.066,7,3.22,0.6,13
6.6,0.735,0.02,7.9,0.122,68,3.47,0.53,9.9
11.5,0.59,0.59,2.6,0.087,13,3.18,0.65,11
11.5,0.59,0.59,2.6,0.087,13,3.18,0.65,11
8.7,0.765,0.22,2.3,0.064,9,3.1,0.55,9.4
