fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,alcohol
6.6,0.735,0.02,7.9,0.122,68,3.47,0.53,9.9
7.7,0.26,0.3,1.7,0.059,20,3.29,0.47,10.8
12.2,0.48,0.54,2.6,0.085,19,3.1,0.61,10.5
11.4,0.6,0.49,2.7,0.085,10,3.15,0.63,10.5
7.7,0.69,0.05,2.7,0.075,15,3.26,0.61,9.1
8.7,0.31,0.46,1.4,0.059,11,3.36,0.76,10.1
9.8,0.44,0.47,2.5,0.063,9,3.24,0.65,10.8
12,0.39,0.66,3,0.093,12,3.18,0.63,10.8
10.4,0.34,0.58,3.7,0.174,6,3.19,0.7,11.3
12.5,0.46,0.49,4.5,0.07,26,3.05,0.57,9.6
9,0.43,0.34,2.5,0.08,26,3.38,0.62,9.5
9.1,0.45,0.35,2.4,0.08,23,3.38,0.62,9.5
7.1,0.735,0.16,1.9,0.1,15,3.27,0.64,9.3
9.9,0.4,0.53,6.7,0.097,6,3.27,0.82,11.7
8.8,0.52,0.34,2.7,0.087,24,3.26,0.61,9.5
8.6,0.725,0.24,6.6,0.117,31,3.32,1.07,9.3
10.6,0.48,0.64,2.2,0.111,6,3.26,0.66,11.7
7,0.58,0.12,1.9,0.091,34,3.44,0.48,10.5
11.9,0.38,0.51,2,0.121,7,3.24,0.76,10.4
6.8,0.77,0,1.8,0.066,34,3.62,0.68,9.9
9.5,0.56,0.33,2.4,0.089,35,3.28,0.73,11.8
6.6,0.84,0.03,2.3,0.059,32,3.52,0.56,12.3
7.7,0.96,0.2,2,0.047,15,3.36,0.44,10.9
10.5,0.24,0.47,2.1,0.066,6,3.15,0.9,11
7.7,0.96,0.2,2,0.047,15,3.36,0.44,10.9
6.6,0.84,0.03,2.3,0.059,32,3.52,0.56,12.3
6.4,0.67,0.08,2.1,0.045,19,3.49,0.49,11.4
9.5,0.78,0.22,1.9,0.077,6,3.26,0.56,10.6
9.1,0.52,0.33,1.3,0.07,9,3.24,0.6,9.3
12.8,0.84,0.63,2.4,0.088,13,3.1,0.6,10.4
10.5,0.24,0.47,2.1,0.066,6,3.15,0.9,11
7.8,0.55,0.35,2.2,0.074,21,3.25,0.56,9.2
11.9,0.37,0.69,2.3,0.078,12,3,0.65,12.8
12.3,0.39,0.63,2.3,0.091,6,3.16,0.49,9.5
10.4,0.41,0.55,3.2,0.076,22,3.15,0.89,9.9
12.3,0.39,0.63,2.3,0.091,6,3.16,0.49,9.5
8,0.67,0.3,2,0.06,38,3.26,0.56,10.2
11.1,0.45,0.73,3.2,0.066,6,3.17,0.66,11.2
10.4,0.41,0.55,3.2,0.076,22,3.15,0.89,9.9
7,0.62,0.18,1.5,0.062,7,3.08,0.6,9.3
12.6,0.31,0.72,2.2,0.072,6,2.88,0.82,9.8
11.9,0.4,0.65,2.15,0.068,7,3.06,0.68,11.3
15.6,0.685,0.76,3.7,0.1,6,2.95,0.68,11.2
10,0.44,0.49,2.7,0.077,11,3.23,0.63,11.6
5.3,0.57,0.01,1.7,0.054,5,3.57,0.84,12.5
9.5,0.735,0.1,2.1,0.079,6,3.23,0.56,10.1
12.5,0.38,0.6,2.6,0.081,31,3.1,0.73,10.5
9.3,0.48,0.29,2.1,0.127,6,3.22,0.72,11.2
8.6,0.53,0.22,2,0.1,7,3.2,0.56,10.2
11.9,0.39,0.69,2.8,0.095,17,3.1,0.61,10.8
11.9,0.39,0.69,2.8,0.095,17,3.1,0.61,10.8
8.4,0.37,0.53,1.8,0.413,9,3.06,1.06,9.1
6.8,0.56,0.03,1.7,0.084,18,3.44,0.63,10
10.4,0.33,0.63,2.8,0.084,5,3.26,0.74,11.2
7,0.23,0.4,1.6,0.063,21,3.5,0.63,11.1
11.3,0.62,0.67,5.2,0.086,6,3.22,0.69,13.4
8.9,0.59,0.39,2.3,0.095,5,3.37,0.58,10.3
9.2,0.63,0.21,2.7,0.097,29,3.28,0.58,9.6
10.4,0.33,0.63,2.8,0.084,5,3.26,0.74,11.2
11.6,0.58,0.66,2.2,0.074,10,3.25,0.57,9
9.2,0.43,0.52,2.3,0.083,14,3.35,0.61,11.3
8.3,0.615,0.22,2.6,0.087,6,3.26,0.61,9.3
11,0.26,0.68,2.55,0.085,10,3.18,0.61,11.8
8.1,0.66,0.7,2.2,0.098,25,3.08,0.53,9
11.5,0.315,0.54,2.1,0.084,5,2.98,0.7,9.2
10,0.29,0.4,2.9,0.098,10,3.48,0.91,9.7
10.3,0.5,0.42,2,0.069,21,3.16,0.72,11.5
8.8,0.46,0.45,2.6,0.065,7,3.32,0.79,14
11.4,0.36,0.69,2.1,0.09,6,3.17,0.62,9.2
8.7,0.82,0.02,1.2,0.07,36,3.2,0.58,9.8
13,0.32,0.65,2.6,0.093,15,3.05,0.61,10.6
9.6,0.54,0.42,2.4,0.081,25,3.2,0.71,11.4
12.5,0.37,0.55,2.6,0.083,25,3.15,0.82,10.4
9.9,0.35,0.55,2.1,0.062,5,3.26,0.79,10.6
10.5,0.28,0.51,1.7,0.08,10,3.2,0.89,9.4
9.6,0.68,0.24,2.2,0.087,5,3.14,0.6,10.2
9.3,0.27,0.41,2,0.091,6,3.28,0.7,9.7
10.4,0.24,0.49,1.8,0.075,6,3.18,1.06,11
9.6,0.68,0.24,2.2,0.087,5,3.14,0.6,10.2
9.4,0.685,0.11,2.7,0.077,6,3.19,0.7,10.1
10.6,0.28,0.39,15.5,0.069,6,3.12,0.66,9.2
9.4,0.3,0.56,2.8,0.08,6,3.15,0.92,11.7
10.6,0.36,0.59,2.2,0.152,6,3.04,1.05,9.4
10.6,0.36,0.6,2.2,0.152,7,3.04,1.06,9.4
10.6,0.44,0.68,4.1,0.114,6,3.06,0.66,13.4
10.2,0.67,0.39,1.9,0.054,6,3.17,0.47,10
10.2,0.67,0.39,1.9,0.054,6,3.17,0.47,10
10.2,0.645,0.36,1.8,0.053,5,3.17,0.42,10
11.6,0.32,0.55,2.8,0.081,35,3.32,0.92,10.8
9.3,0.39,0.4,2.6,0.073,10,3.34,0.75,10.2
9.3,0.775,0.27,2.8,0.078,24,3.31,0.67,10.6
9.2,0.41,0.5,2.5,0.055,12,3.34,0.79,13.3
8.9,0.4,0.51,2.6,0.052,13,3.32,0.9,13.4
8.7,0.69,0.31,3,0.086,23,3.48,0.74,11.6
6.5,0.39,0.23,8.3,0.051,28,3.44,0.55,12.1
10.7,0.35,0.53,2.6,0.07,5,3.15,0.65,11
7.8,0.52,0.25,1.9,0.081,14,3.43,0.65,9
7.2,0.34,0.32,2.5,0.09,43,3.32,0.79,11.1
10.7,0.35,0.53,2.6,0.07,5,3.15,0.65,11
8.7,0.69,0.31,3,0.086,23,3.48,0.74,11.6
7.8,0.52,0.25,1.9,0.081,14,3.43,0.65,9
10.4,0.44,0.73,6.55,0.074,38,3.17,0.85,12
10.4,0.44,0.73,6.55,0.074,38,3.17,0.85,12
10.5,0.26,0.47,1.9,0.078,6,3.18,1.04,10.9
10.5,0.24,0.42,1.8,0.077,6,3.21,1.05,10.8
10.2,0.49,0.63,2.9,0.072,10,3.16,0.78,12.5
10.4,0.24,0.46,1.8,0.075,6,3.25,1.02,10.8
11.2,0.67,0.55,2.3,0.084,6,3.17,0.71,9.5
10,0.59,0.31,2.2,0.09,26,3.18,0.63,10.2
13.3,0.29,0.75,2.8,0.084,23,3.04,0.68,11.4
12.4,0.42,0.49,4.6,0.073,19,3.02,0.61,9.5
10,0.59,0.31,2.2,0.09,26,3.18,0.63,10.2
10.7,0.4,0.48,2.1,0.125,15,3.03,0.81,9.7
10.5,0.51,0.64,2.4,0.107,6,3.09,0.66,11.8
10.5,0.51,0.64,2.4,0.107,6,3.09,0.66,11.8
8.5,0.655,0.49,6.1,0.122,34,3.31,1.14,9.3
12.5,0.6,0.49,4.3,0.1,5,3.25,0.74,11.9
10.4,0.61,0.49,2.1,0.2,5,3.16,0.63,8.4
10.9,0.21,0.49,2.8,0.088,11,3.22,0.68,11.7
7.3,0.365,0.49,2.5,0.088,39,3.36,0.78,11
9.8,0.25,0.49,2.7,0.088,15,3.42,0.9,10
7.6,0.41,0.49,2,0.088,16,3.48,0.64,9.1
8.2,0.39,0.49,2.3,0.099,47,3.38,0.99,9.8
9.3,0.4,0.49,2.5,0.085,38,3.22,0.55,9.4
9.2,0.43,0.49,2.4,0.086,23,3.23,0.64,9.5
10.4,0.64,0.24,2.8,0.105,29,3.24,0.67,9.9
7.3,0.365,0.49,2.5,0.088,39,3.36,0.78,11
7,0.38,0.49,2.5,0.097,33,3.39,0.77,11.4
8.2,0.42,0.49,2.6,0.084,32,3.34,0.75,8.7
9.9,0.63,0.24,2.4,0.077,6,3.09,0.57,9.4
9.1,0.22,0.24,2.1,0.078,1,3.41,0.87,10.3
11.9,0.38,0.49,2.7,0.098,12,3.16,0.61,10.3
11.9,0.38,0.49,2.7,0.098,12,3.16,0.61,10.3
10.3,0.27,0.24,2.1,0.072,15,3.22,0.66,12.8
10,0.48,0.24,2.7,0.102,13,3.28,0.56,10
9.1,0.22,0.24,2.1,0.078,1,3.41,0.87,10.3
9.9,0.63,0.24,2.4,0.077,6,3.09,0.57,9.4
8.1,0.825,0.24,2.1,0.084,5,3.37,0.77,10.7
12.9,0.35,0.49,5.8,0.066,5,3.2,0.66,12
11.2,0.5,0.74,5.15,0.1,5,3.22,0.62,11.2
9.2,0.59,0.24,3.3,0.101,20,3.26,0.67,9.6
9.5,0.46,0.49,6.3,0.064,5,3.21,0.73,11
9.3,0.715,0.24,2.1,0.07,5,3.12,0.59,9.9
11.2,0.66,0.24,2.5,0.085,16,3.06,0.72,11
14.3,0.31,0.74,1.8,0.075,6,2.86,0.79,8.4
9.1,0.47,0.49,2.6,0.094,38,3.08,0.59,9.1
7.5,0.55,0.24,2,0.078,10,3.45,0.78,9.5
10.6,0.31,0.49,2.5,0.067,6,3.26,0.86,10.7
12.4,0.35,0.49,2.6,0.079,27,3.12,0.75,10.4
9,0.53,0.49,1.9,0.171,6,3.27,0.61,9.4
6.8,0.51,0.01,2.1,0.074,9,3.33,0.56,9.5
9.4,0.43,0.24,2.8,0.092,14,3.19,0.73,10
9.5,0.46,0.24,2.7,0.092,14,3.12,0.74,10
5,1.04,0.24,1.6,0.05,32,3.74,0.62,11.5
15.5,0.645,0.49,4.2,0.095,10,2.92,0.74,11.1
15.5,0.645,0.49,4.2,0.095,10,2.92,0.74,11.1
10.9,0.53,0.49,4.6,0.118,10,3.07,0.56,11.7
15.6,0.645,0.49,4.2,0.095,10,2.92,0.74,11.1
10.9,0.53,0.49,4.6,0.118,10,3.07,0.56,11.7
13,0.47,0.49,4.3,0.085,6,3.3,0.68,12.7
12.7,0.6,0.49,2.8,0.075,5,3.14,0.57,11.4
9,0.44,0.49,2.4,0.078,26,3.23,0.58,9.2
9,0.54,0.49,2.9,0.094,41,3.08,0.61,9.2
7.6,0.29,0.49,2.7,0.092,25,3.31,0.61,10.1
13,0.47,0.49,4.3,0.085,6,3.3,0.68,12.7
12.7,0.6,0.49,2.8,0.075,5,3.14,0.57,11.4
8.7,0.7,0.24,2.5,0.226,5,3.32,0.6,9
8.7,0.7,0.24,2.5,0.226,5,3.32,0.6,9
9.8,0.5,0.49,2.6,0.25,5,3.31,0.79,10.7
6.2,0.36,0.24,2.2,0.095,19,3.57,0.57,11.7
11.5,0.35,0.49,3.3,0.07,10,3.32,0.91,11
6.2,0.36,0.24,2.2,0.095,19,3.57,0.57,11.7
10.2,0.24,0.49,2.4,0.075,10,3.14,0.61,10.4
10.5,0.59,0.49,2.1,0.07,14,3.3,0.56,9.6
10.6,0.34,0.49,3.2,0.078,20,3.19,0.7,10
12.3,0.27,0.49,3.1,0.079,28,3.2,0.8,10.2
9.9,0.5,0.24,2.3,0.103,6,3.34,0.52,10
8.8,0.44,0.49,2.8,0.083,18,3.3,0.6,9.5
8.8,0.47,0.49,2.9,0.085,17,3.29,0.6,9.8
10.6,0.31,0.49,2.2,0.063,18,3.14,0.51,9.8
12.3,0.5,0.49,2.2,0.089,5,3.19,0.44,9.6
12.3,0.5,0.49,2.2,0.089,5,3.19,0.44,9.6
11.7,0.49,0.49,2.2,0.083,5,3.19,0.43,9.2
12,0.28,0.49,1.9,0.074,10,2.98,0.66,9.9
11.8,0.33,0.49,3.4,0.093,54,3.3,0.76,10.7
7.6,0.51,0.24,2.4,0.091,8,3.47,0.66,9.6
11.1,0.31,0.49,2.7,0.094,16,3.12,1.02,10.6
7.3,0.73,0.24,1.9,0.108,18,3.26,0.59,9.3
5,0.42,0.24,2,0.06,19,3.72,0.74,14
10.2,0.29,0.49,2.6,0.059,5,3.05,0.74,10.5
9,0.45,0.49,2.6,0.084,21,3.35,0.57,9.7
6.6,0.39,0.49,1.7,0.07,23,3.12,0.5,11.5
9,0.45,0.49,2.6,0.084,21,3.35,0.57,9.7
9.9,0.49,0.58,3.5,0.094,9,3.29,0.58,9
7.9,0.72,0.17,2.6,0.096,20,3.4,0.53,9.5
8.9,0.595,0.41,7.9,0.086,30,3.27,0.57,9.3
12.4,0.4,0.51,2,0.059,6,3.04,0.6,9.3
11.9,0.58,0.58,1.9,0.071,5,3.09,0.63,10
8.5,0.585,0.18,2.1,0.078,5,3.2,0.48,9.8
12.7,0.59,0.45,2.3,0.082,11,3,0.7,9.3
8.2,0.915,0.27,2.1,0.088,7,3.26,0.47,10
13.2,0.46,0.52,2.2,0.071,12,3.1,0.56,9
7.7,0.835,0,2.6,0.081,6,3.3,0.52,9.3
13.2,0.46,0.52,2.2,0.071,12,3.1,0.56,9
8.3,0.58,0.13,2.9,0.096,14,3.17,0.62,9.1
8.3,0.6,0.13,2.6,0.085,6,3.31,0.59,9.2
9.4,0.41,0.48,4.6,0.072,10,3.34,0.79,12.2
8.8,0.48,0.41,3.3,0.092,26,3.31,0.53,10.5
10.1,0.65,0.37,5.1,0.11,11,3.32,0.64,10.4
6.3,0.36,0.19,3.2,0.075,15,3.56,0.52,12.7
8.8,0.24,0.54,2.5,0.083,25,3.39,0.54,9.2
13.2,0.38,0.55,2.7,0.081,5,2.98,0.54,9.4
7.5,0.64,0,2.4,0.077,18,3.32,0.6,10
8.2,0.39,0.38,1.5,0.058,10,3.26,0.74,9.8
9.2,0.755,0.18,2.2,0.148,10,2.87,1.36,10.2
9.6,0.6,0.5,2.3,0.079,28,3.5,0.57,9.7
9.6,0.6,0.5,2.3,0.079,28,3.5,0.57,9.7
11.5,0.31,0.51,2.2,0.079,14,3.03,0.93,9.8
11.4,0.46,0.5,2.7,0.122,4,3.13,0.7,10.2
11.3,0.37,0.41,2.3,0.088,6,3.09,0.8,9.3
8.3,0.54,0.24,3.4,0.076,16,3.27,0.61,9.4
8.2,0.56,0.23,3.4,0.078,14,3.28,0.62,9.4
10,0.58,0.22,1.9,0.08,9,3.13,0.55,9.5
7.9,0.51,0.25,2.9,0.077,21,3.49,0.96,12.1
6.8,0.69,0,5.6,0.124,21,3.46,0.72,10.2
6.8,0.69,0,5.6,0.124,21,3.46,0.72,10.2
8.8,0.6,0.29,2.2,0.098,5,3.36,0.49,9.1
8.8,0.6,0.29,2.2,0.098,5,3.36,0.49,9.1
8.7,0.54,0.26,2.5,0.097,7,3.27,0.6,9.3
7.6,0.685,0.23,2.3,0.111,20,3.21,0.61,9.3
8.7,0.54,0.26,2.5,0.097,7,3.27,0.6,9.3
10.4,0.28,0.54,2.7,0.105,5,3.25,0.63,9.5
7.6,0.41,0.14,3,0.087,21,3.32,0.57,10.5
10.1,0.935,0.22,3.4,0.105,11,3.43,0.64,11.3
7.9,0.35,0.21,1.9,0.073,46,3.27,0.58,9.5
8.7,0.84,0,1.4,0.065,24,3.27,0.55,9.7
9.6,0.88,0.28,2.4,0.086,30,3.24,0.53,9.4
9.5,0.885,0.27,2.3,0.084,31,3.24,0.53,9.4
7.7,0.915,0.12,2.2,0.143,7,3.35,0.65,10.2
8.9,0.29,0.35,1.9,0.067,25,3.18,1.36,10.3
9.9,0.54,0.45,2.3,0.071,16,3.39,0.62,9.4
9.5,0.59,0.44,2.3,0.071,21,3.46,0.63,9.5
9.9,0.54,0.45,2.3,0.071,16,3.39,0.62,9.4
9.5,0.59,0.44,2.3,0.071,21,3.46,0.63,9.5
9.9,0.54,0.45,2.3,0.071,16,3.39,0.62,9.4
7.8,0.64,0.1,6,0.115,5,3.37,0.69,10.1
7.3,0.67,0.05,3.6,0.107,6,3.4,0.63,10.1
8.3,0.845,0.01,2.2,0.07,5,3.32,0.58,11
8.7,0.48,0.3,2.8,0.066,10,3.33,0.67,11.2
6.7,0.42,0.27,8.6,0.068,24,3.16,0.57,11.3
10.7,0.43,0.39,2.2,0.106,8,2.89,0.5,9.6
9.8,0.88,0.25,2.5,0.104,35,3.41,0.67,11.2
15.9,0.36,0.65,7.5,0.096,22,2.98,0.84,14.9
9.4,0.33,0.59,2.8,0.079,9,3.12,0.54,12
8.6,0.47,0.47,2.4,0.074,7,3.08,0.46,9.5
9.7,0.55,0.17,2.9,0.087,20,3.14,0.61,9.4
10.7,0.43,0.39,2.2,0.106,8,2.89,0.5,9.6
12,0.5,0.59,1.4,0.073,23,2.92,0.68,10.5
7.2,0.52,0.07,1.4,0.074,5,3.32,0.81,9.6
7.1,0.84,0.02,4.4,0.096,5,3.41,0.57,11
7.2,0.52,0.07,1.4,0.074,5,3.32,0.81,9.6
7.5,0.42,0.31,1.6,0.08,15,3.31,0.64,9
7.2,0.57,0.06,1.6,0.076,9,3.36,0.7,9.6
10.1,0.28,0.46,1.8,0.05,5,3.04,0.79,10.2
12.1,0.4,0.52,2,0.092,15,3.03,0.66,10.2
9.4,0.59,0.14,2,0.084,25,3.14,0.56,9.7
8.3,0.49,0.36,1.8,0.222,6,3.18,0.6,9.5
11.3,0.34,0.45,2,0.082,6,2.94,0.66,9.2
10,0.73,0.43,2.3,0.059,15,3.15,0.57,11
11.3,0.34,0.45,2,0.082,6,2.94,0.66,9.2
6.9,0.4,0.24,2.5,0.083,30,3.26,0.58,10
8.2,0.73,0.21,1.7,0.074,5,3.2,0.52,9.5
9.8,1.24,0.34,2,0.079,32,3.15,0.53,9.5
8.2,0.73,0.21,1.7,0.074,5,3.2,0.52,9.5
10.8,0.4,0.41,2.2,0.084,7,3.08,0.67,9.3
9.3,0.41,0.39,2.2,0.064,12,3.26,0.65,10.2
10.8,0.4,0.41,2.2,0.084,7,3.08,0.67,9.3
8.6,0.8,0.11,2.3,0.084,12,3.4,0.48,9.9
8.3,0.78,0.1,2.6,0.081,45,3.48,0.53,10
10.8,0.26,0.45,3.3,0.06,20,3.13,0.54,9.6
13.3,0.43,0.58,1.9,0.07,15,3.06,0.49,9
8,0.45,0.23,2.2,0.094,16,3.21,0.49,10.2
8.5,0.46,0.31,2.25,0.078,32,3.33,0.54,9.8
8.1,0.78,0.23,2.6,0.059,5,3.37,0.56,11.3
9.8,0.98,0.32,2.3,0.078,35,3.25,0.48,9.4
8.1,0.78,0.23,2.6,0.059,5,3.37,0.56,11.3
7.1,0.65,0.18,1.8,0.07,13,3.44,0.6,9.1
9.1,0.64,0.23,3.1,0.095,13,3.28,0.59,9.7
7.7,0.66,0.04,1.6,0.039,4,3.4,0.47,9.4
8.1,0.38,0.48,1.8,0.157,5,3.3,1.05,9.4
7.4,1.185,0,4.25,0.097,5,3.63,0.54,10.7
9.2,0.92,0.24,2.6,0.087,12,3.48,0.54,9.8
8.6,0.49,0.51,2,0.422,16,3.03,1.17,9
9,0.48,0.32,2.8,0.084,21,3.32,0.62,9.4
9,0.47,0.31,2.7,0.084,24,3.31,0.61,9.4
5.1,0.47,0.02,1.3,0.034,18,3.9,0.62,12.8
7,0.65,0.02,2.1,0.066,8,3.47,0.67,9.5
7,0.65,0.02,2.1,0.066,8,3.47,0.67,9.5
9.4,0.615,0.28,3.2,0.087,18,3.31,0.53,9.7
11.8,0.38,0.55,2.1,0.071,5,3.11,0.62,10.8
10.6,1.02,0.43,2.9,0.076,26,3.08,0.57,10.1
7,0.65,0.02,2.1,0.066,8,3.47,0.67,9.5
7,0.64,0.02,2.1,0.067,9,3.47,0.67,9.4
7.5,0.38,0.48,2.6,0.073,22,3.32,0.7,9.6
9.1,0.765,0.04,1.6,0.078,4,3.29,0.54,9.7
8.4,1.035,0.15,6,0.073,11,3.37,0.49,9.9
7,0.78,0.08,2,0.093,10,3.4,0.47,10
7.4,0.49,0.19,3,0.077,16,3.37,0.51,10.5
7.8,0.545,0.12,2.5,0.068,11,3.34,0.61,11.6
9.7,0.31,0.47,1.6,0.062,13,3.27,0.66,10
10.6,1.025,0.43,2.8,0.08,21,3.06,0.57,10.1
8.9,0.565,0.34,3,0.093,16,3.38,0.61,9.5
8.7,0.69,0,3.2,0.084,13,3.36,0.45,9.4
8,0.43,0.36,2.3,0.075,10,3.34,0.46,9.4
9.9,0.74,0.28,2.6,0.078,21,3.28,0.51,9.8
7.2,0.49,0.18,2.7,0.069,13,3.29,0.48,9.2
8,0.43,0.36,2.3,0.075,10,3.34,0.46,9.4
7.6,0.46,0.11,2.6,0.079,12,3.21,0.57,10
8.4,0.56,0.04,2,0.082,10,3.22,0.44,9.6
7.1,0.66,0,3.9,0.086,17,3.46,0.54,9.5
8.4,0.56,0.04,2,0.082,10,3.22,0.44,9.6
8.9,0.48,0.24,2.85,0.094,35,3.1,0.53,9.2
7.6,0.42,0.08,2.7,0.084,15,3.21,0.59,10
7.1,0.31,0.3,2.2,0.053,36,2.94,1.62,9.5
7.5,1.115,0.1,3.1,0.086,5,3.54,0.6,11.2
9,0.66,0.17,3,0.077,5,3.29,0.55,10.4
8.1,0.72,0.09,2.8,0.084,18,3.43,0.72,11.1
6.4,0.57,0.02,1.8,0.067,4,3.46,0.68,9.5
6.4,0.57,0.02,1.8,0.067,4,3.46,0.68,9.5
6.4,0.865,0.03,3.2,0.071,27,3.61,0.49,12.7
9.5,0.55,0.66,2.3,0.387,12,3.17,0.67,9.6
8.9,0.875,0.13,3.45,0.088,4,3.44,0.52,11.5
7.3,0.835,0.03,2.1,0.092,10,3.39,0.47,9.6
7,0.45,0.34,2.7,0.082,16,3.55,0.6,9.5
7.7,0.56,0.2,2,0.075,9,3.48,0.62,9.3
7.7,0.965,0.1,2.1,0.112,11,3.26,0.5,9.5
7.7,0.965,0.1,2.1,0.112,11,3.26,0.5,9.5
8.2,0.59,0,2.5,0.093,19,3.5,0.65,9.3
9,0.46,0.23,2.8,0.092,28,3.1,0.56,9.2
9,0.69,0,2.4,0.088,19,3.35,0.6,9.3
8.3,0.76,0.29,4.2,0.075,12,3.45,0.68,11.5
9.2,0.53,0.24,2.6,0.078,28,3.21,0.57,9.5
6.5,0.615,0,1.9,0.065,9,3.46,0.65,9.2
11.6,0.41,0.58,2.8,0.096,25,3.13,0.53,10
11.1,0.39,0.54,2.7,0.095,21,3.13,0.51,9.5
7.3,0.51,0.18,2.1,0.07,12,3.52,0.73,9.5
8.2,0.34,0.38,2.5,0.08,12,3.3,0.47,9
8.6,0.33,0.4,2.6,0.083,16,3.3,0.48,9.4
7.2,0.5,0.18,2.1,0.071,12,3.52,0.72,9.6
7.3,0.51,0.18,2.1,0.07,12,3.52,0.73,9.5
8.3,0.65,0.1,2.9,0.089,17,3.29,0.55,9.5
8.3,0.65,0.1,2.9,0.089,17,3.29,0.55,9.5
7.6,0.54,0.13,2.5,0.097,24,3.39,0.61,9.4
8.3,0.65,0.1,2.9,0.089,17,3.29,0.55,9.5
7.8,0.48,0.68,1.7,0.415,14,3.09,1.06,9.1
7.8,0.91,0.07,1.9,0.058,22,3.51,0.43,10.7
6.3,0.98,0.01,2,0.057,15,3.6,0.46,11.2
8.1,0.87,0,2.2,0.084,10,3.25,0.5,9.8
8.1,0.87,0,2.2,0.084,10,3.25,0.5,9.8
8.8,0.42,0.21,2.5,0.092,33,3.19,0.52,9.2
9,0.58,0.25,2.8,0.075,9,3.23,0.57,9.7
9.3,0.655,0.26,2,0.096,5,3.25,0.42,9.6
8.8,0.7,0,1.7,0.069,8,3.31,0.53,10
9.3,0.655,0.26,2,0.096,5,3.25,0.42,9.6
9.1,0.68,0.11,2.8,0.093,11,3.31,0.55,9.5
9.2,0.67,0.1,3,0.091,12,3.31,0.54,9.5
8.8,0.59,0.18,2.9,0.089,12,3.14,0.54,9.4
7.5,0.6,0.32,2.7,0.103,13,3.45,0.62,9.5
7.1,0.59,0.02,2.3,0.082,24,3.55,0.53,9.7
7.9,0.72,0.01,1.9,0.076,7,3.39,0.54,9.6
7.1,0.59,0.02,2.3,0.082,24,3.55,0.53,9.7
9.4,0.685,0.26,2.4,0.082,23,3.28,0.55,9.4
9.5,0.57,0.27,2.3,0.082,23,3.27,0.55,9.4
7.9,0.4,0.29,1.8,0.157,1,3.3,0.92,9.5
7.9,0.4,0.3,1.8,0.157,2,3.31,0.91,9.5
7.2,1,0,3,0.102,7,3.43,0.46,10
6.9,0.765,0.18,2.4,0.243,5.5,3.4,0.6,10.3
6.9,0.635,0.17,2.4,0.241,6,3.4,0.59,10.3
8.3,0.43,0.3,3.4,0.079,7,3.36,0.61,10.5
7.1,0.52,0.03,2.6,0.076,21,3.5,0.6,9.8
7,0.57,0,2,0.19,12,3.31,0.6,9.4
6.5,0.46,0.14,2.4,0.114,9,3.66,0.65,9.8
9,0.82,0.05,2.4,0.081,26,3.36,0.53,10
6.5,0.46,0.14,2.4,0.114,9,3.66,0.65,9.8
7.1,0.59,0.01,2.5,0.077,20,3.55,0.59,9.8
9.9,0.35,0.41,2.3,0.083,11,3.21,0.5,9.5
9.9,0.35,0.41,2.3,0.083,11,3.21,0.5,9.5
10,0.56,0.24,2.2,0.079,19,3.18,0.56,10.1
10,0.56,0.24,2.2,0.079,19,3.18,0.56,10.1
8.6,0.63,0.17,2.9,0.099,21,3.09,0.52,9.3
7.4,0.37,0.43,2.6,0.082,18,3.33,0.68,9.7
8.8,0.64,0.17,2.9,0.084,25,3.23,0.54,9.6
7.1,0.61,0.02,2.5,0.081,17,3.48,0.6,9.7
7.7,0.6,0,2.6,0.055,7,3.38,0.56,10.8
10.1,0.27,0.54,2.3,0.065,7,3.17,0.53,12.5
10.8,0.89,0.3,2.6,0.132,7,2.99,1.18,10.2
8.7,0.46,0.31,2.5,0.126,24,3.1,0.74,9.6
9.3,0.37,0.44,1.6,0.038,21,3.24,0.81,10.8
9.4,0.5,0.34,3.6,0.082,5,3.29,0.52,10.7
